EN: hello | FR: bonjour | RW: muraho
EN: goodbye | FR: au revoir | RW: murabeho
EN: thank you | FR: merci | RW: murakoze
EN: yes | FR: oui | RW: yego
EN: no | FR: non | RW: oya
EN: please | FR: s il vous plait | RW: mfasha
EN: water | FR: eau | RW: amazi
EN: food | FR: nourriture | RW: ibiribwa
EN: house | FR: maison | RW: inzu
EN: school | FR: ecole | RW: ishuri
EN: work | FR: travail | RW: akazi
EN: friend | FR: ami | RW: inshuti
EN: family | FR: famille | RW: umuryango
EN: mother | FR: mere | RW: mama
EN: father | FR: pere | RW: papa
EN: child | FR: enfant | RW: umwana
EN: love | FR: amour | RW: urukundo
EN: peace | FR: paix | RW: amahoro
EN: good | FR: bon | RW: byiza
EN: bad | FR: mauvais | RW: bibi
EN: beautiful | FR: beau | RW: nziza
EN: big | FR: grand | RW: nkuru
EN: small | FR: petit | RW: ntoya
EN: fast | FR: rapide | RW: vuba
EN: slow | FR: lent | RW: buhoro
EN: morning | FR: matin | RW: mu gitondo
EN: evening | FR: soir | RW: nijoro
EN: today | FR: aujourd hui | RW: uyu munsi
EN: tomorrow | FR: demain | RW: ejo
EN: yesterday | FR: hier | RW: ejo hashize
EN: sun | FR: soleil | RW: izuba
EN: moon | FR: lune | RW: ukwezi
EN: rain | FR: pluie | RW: imvura
EN: tree | FR: arbre | RW: igiti
EN: road | FR: route | RW: inzira
EN: city | FR: ville | RW: umujyi
EN: village | FR: village | RW: umudugudu
EN: country | FR: pays | RW: igihugu
EN: Africa | FR: Afrique | RW: Afurika
EN: Rwanda | FR: Rwanda | RW: u Rwanda
EN: Kigali | FR: Kigali | RW: Kigali
EN: hospital | FR: hopital | RW: ibitaro
EN: doctor | FR: medecin | RW: umuganga
EN: teacher | FR: professeur | RW: umwarimu
EN: student | FR: etudiant | RW: umunyeshuri
EN: book | FR: livre | RW: igitabo
EN: computer | FR: ordinateur | RW: mudasobwa
EN: phone | FR: telephone | RW: telefone
EN: money | FR: argent | RW: amafaranga
EN: market | FR: marche | RW: isoko
EN: bread | FR: pain | RW: umugati
EN: milk | FR: lait | RW: amata
EN: meat | FR: viande | RW: inyama
EN: fish | FR: poisson | RW: inzoga
EN: rice | FR: riz | RW: umuceli
EN: banana | FR: banane | RW: igitoki
EN: coffee | FR: cafe | RW: ikawa
EN: tea | FR: the | RW: icyayi
EN: one | FR: un | RW: kimwe
EN: two | FR: deux | RW: kabiri
EN: three | FR: trois | RW: gatatu
EN: four | FR: quatre | RW: kane
EN: five | FR: cinq | RW: gatanu
EN: ten | FR: dix | RW: icumi
EN: hundred | FR: cent | RW: ijana
EN: thousand | FR: mille | RW: igihumbi
EN: name | FR: nom | RW: izina
EN: language | FR: langue | RW: ururimi
EN: question | FR: question | RW: ikibazo
EN: answer | FR: reponse | RW: igisubizo
EN: problem | FR: probleme | RW: ikibazo
EN: help | FR: aide | RW: ubufasha
EN: time | FR: temps | RW: igihe
EN: year | FR: annee | RW: umwaka
EN: month | FR: mois | RW: ukwezi
EN: week | FR: semaine | RW: icyumweru
EN: day | FR: jour | RW: umunsi
EN: hour | FR: heure | RW: isaha
EN: minute | FR: minute | RW: umunota
EN: north | FR: nord | RW: amajyaruguru
EN: south | FR: sud | RW: amajyepfo
EN: east | FR: est | RW: iburasirazuba
EN: west | FR: ouest | RW: iburengerazuba
EN: new | FR: nouveau | RW: gishya
EN: old | FR: vieux | RW: kera
EN: important | FR: important | RW: ingenzi
EN: true | FR: vrai | RW: ukuri
EN: false | FR: faux | RW: ikinyoma
EN: possible | FR: possible | RW: bishoboka
EN: impossible | FR: impossible | RW: ntibibishoboka
EN: easy | FR: facile | RW: byoroshye
EN: difficult | FR: difficile | RW: bigoye
